uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,56,80,80,104,24
1,96,88,40,32,-56
1,88,88,176,176,88
1,64,47,65,48,1
1,56,56,128,128,72
1,72,56,72,56,0
1,80,48,80,48,0
1,80,72,32,24,-48
1,64,81,96,113,32
1,80,72,80,72,0
1,104,57,48,1,-56
1,80,96,64,80,-16
1,80,80,80,80,0
1,80,72,152,144,72
1,72,64,47,39,-25
1,72,96,96,120,24
1,48,88,64,104,16
1,56,96,56,96,0
1,64,63,88,87,24
1,96,56,96,56,0
1,80,55,81,56,1
0,97,63,161,127,64
0,88,96,72,80,-16
0,80,105,80,105,0
0,80,64,968,952,888
0,80,80,96,96,16
0,80,88,40,48,-40
0,64,80,64,80,0
0,104,88,64,48,-40
0,80,80,120,120,40
0,80,88,128,136,48
0,96,96,49,49,-47
0,80,72,104,96,24
0,88,80,56,48,-32
0,88,80,88,80,0
0,96,88,80,72,-16
0,96,80,96,80,0
0,65,56,65,56,0
0,72,72,72,72,0
0,56,64,32,40,-24
0,88,56,88,56,0
0,112,104,112,104,0
0,88,88,88,88,0
0,95,64,72,41,-23
0,87,56,87,56,0
0,87,88,111,112,24
0,72,80,48,56,-24
0,80,72,80,72,0
0,80,80,80,80,0
0,96,112,96,112,0
0,88,96,88,96,0
0,80,72,64,56,-16
0,80,64,96,80,16
0,96,72,96,72,0
0,96,64,96,64,0
0,112,112,112,112,0
0,96,96,72,72,-24
0,128,96,128,96,0
0,87,64,88,65,1
0,112,128,72,88,-40
0,88,104,88,104,0
0,96,95,97,96,1
0,80,24,112,56,32
