uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,80,120,96,136,16
1,112,80,104,72,-8
1,64,101,91,128,27
1,112,63,112,63,0
1,80,88,80,88,0
1,120,152,120,152,0
1,96,88,152,144,56
1,104,56,144,96,40
1,104,120,80,96,-24
1,96,80,96,80,0
1,112,80,160,128,48
1,144,96,176,128,32
1,112,104,136,128,24
0,66,48,119,101,53
0,63,80,103,120,40
0,65,56,120,111,55
0,56,64,88,96,32
0,71,56,120,105,49
0,64,49,112,97,48
0,64,56,112,104,48
0,56,64,104,112,48
0,73,73,112,112,39
0,71,64,111,104,40
0,88,56,48,16,-40
0,101,40,101,40,0
0,104,64,104,64,0
0,72,72,176,176,104
0,72,64,176,168,104
0,72,56,192,176,120
0,72,24,232,184,160
0,72,64,192,184,120
0,72,72,168,168,96
0,71,64,192,185,121
0,80,72,184,176,104
0,71,64,184,177,113
0,80,56,192,168,112
0,72,72,168,168,96
0,72,72,200,200,128
0,64,64,176,176,112
