uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,176,112,96,32,-80
1,104,80,56,32,-48
1,128,88,80,40,-48
1,152,128,88,64,-64
1,104,96,104,96,0
1,176,128,80,32,-96
1,200,144,72,16,-128
1,152,136,40,24,-112
1,160,136,64,40,-96
1,184,128,80,24,-104
0,66,48,119,101,53
0,63,80,103,120,40
0,65,56,120,111,55
0,56,64,88,96,32
0,71,56,120,105,49
0,64,49,112,97,48
0,64,56,112,104,48
0,56,64,104,112,48
0,73,73,112,112,39
0,71,64,111,104,40
0,72,72,176,176,104
0,72,64,176,168,104
0,72,56,192,176,120
0,72,24,232,184,160
0,72,64,192,184,120
0,72,72,168,168,96
0,71,64,192,185,121
0,80,72,184,176,104
0,71,64,184,177,113
0,80,56,192,168,112
