uid,key1_hold_dur,key2_hold_dur,DD_dur,UU_dur,UD_dur
1,120,96,72,48,-48
1,88,72,120,104,32
1,96,80,144,128,48
1,88,128,88,128,0
1,112,80,112,80,0
1,120,120,96,96,-24
1,96,72,96,72,0
1,80,80,80,80,0
1,127,64,143,80,16
1,104,64,104,64,0
1,104,104,104,104,0
1,96,96,96,96,0
1,88,72,88,72,0
1,112,80,96,64,-16
1,80,80,80,80,0
1,96,80,80,64,-16
1,89,80,57,48,-32
1,88,88,64,64,-24
1,112,96,56,40,-56
1,96,64,96,64,0
1,95,70,122,97,27
1,104,72,120,88,16
1,112,96,112,96,0
1,112,56,112,56,0
1,128,72,129,73,1
1,112,104,80,72,-32
1,96,104,80,88,-16
1,72,56,56,40,-16
1,128,104,104,80,-24
1,104,96,104,96,0
1,103,120,103,120,0
1,120,88,64,32,-56
0,72,80,73,81,1
0,56,77,88,109,32
0,81,69,81,69,0
0,64,64,80,80,16
0,64,72,65,73,1
0,56,72,56,72,0
0,64,78,66,80,2
0,64,71,97,104,33
0,80,88,80,88,0
0,56,80,56,80,0
0,64,107,303,346,239
0,72,40,88,56,16
0,56,72,56,72,0
0,49,64,88,103,39
0,80,88,80,88,0
0,64,89,88,113,24
0,64,72,64,72,0
0,72,80,72,80,0
0,80,70,82,72,2
0,80,80,144,144,64
0,64,80,64,80,0
0,56,80,80,104,24
0,96,88,40,32,-56
0,88,88,176,176,88
0,64,47,65,48,1
0,56,56,128,128,72
0,72,56,72,56,0
0,80,48,80,48,0
0,80,72,32,24,-48
0,64,81,96,113,32
0,80,72,80,72,0
0,104,57,48,1,-56
0,66,48,119,101,53
0,63,80,103,120,40
0,65,56,120,111,55
0,56,64,88,96,32
0,71,56,120,105,49
0,64,49,112,97,48
0,64,56,112,104,48
0,56,64,104,112,48
0,73,73,112,112,39
0,71,64,111,104,40
0,88,56,48,16,-40
0,101,40,101,40,0
0,104,64,104,64,0
0,112,64,112,64,0
0,80,56,113,89,33
0,88,56,144,112,56
0,112,72,128,88,16
0,80,64,128,112,48
0,112,55,113,56,1
0,79,55,96,72,17
0,120,56,240,176,120
0,104,63,105,64,1
0,72,56,128,112,56
0,72,56,104,88,32
0,96,56,113,73,17
0,64,56,104,96,40
0,72,56,104,88,32
0,80,64,128,112,48
0,104,48,104,48,0
0,88,56,88,56,0
0,64,48,96,80,32
0,72,56,96,80,24
